City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Airai,-8.9266,125.4092,80.89,34,45,3.15,TL,2021-10-04 03:42:02
1,Inhambane,-23.865,35.3833,73.38,94,75,9.22,MZ,2021-10-04 03:38:57
2,Mar Del Plata,-38.0023,-57.5575,46.13,68,0,7.0,AR,2021-10-04 03:32:40
3,Necochea,-38.5473,-58.7368,41.59,84,0,7.63,AR,2021-10-04 03:42:03
4,Butaritari,3.0707,172.7902,82.81,69,7,16.44,KI,2021-10-04 03:42:03
5,Dikson,73.5069,80.5464,35.6,98,100,20.02,RU,2021-10-04 03:42:04
6,Saskylakh,71.9167,114.0833,22.69,90,100,14.97,RU,2021-10-04 03:42:04
7,Mataura,-46.1927,168.8643,52.48,80,100,11.9,NZ,2021-10-04 03:32:14
8,Faanui,-16.4833,-151.75,78.82,72,14,10.31,PF,2021-10-04 03:32:32
9,Port-Gentil,-0.7193,8.7815,77.36,84,99,12.59,GA,2021-10-04 03:42:05
10,Ulladulla,-35.35,150.4667,76.1,40,1,8.05,AU,2021-10-04 03:42:05
11,Rikitea,-23.1203,-134.9692,73.38,69,100,17.22,PF,2021-10-04 03:42:05
12,Kajaani,64.2273,27.7285,48.25,87,75,13.8,FI,2021-10-04 03:42:05
13,Ushuaia,-54.8,-68.3,35.26,93,75,8.05,AR,2021-10-04 03:42:06
14,Matara,5.9485,80.5353,84.02,70,100,10.07,LK,2021-10-04 03:42:06
15,Soverato,38.685,16.5499,64.35,79,8,2.13,IT,2021-10-04 03:42:06
16,Ende,-8.8432,121.6623,86.27,60,77,6.89,ID,2021-10-04 03:42:07
17,Atuona,-9.8,-139.0333,77.88,72,17,17.22,PF,2021-10-04 03:42:07
18,Cockburn Town,21.4612,-71.1419,82.54,64,100,20.69,TC,2021-10-04 03:36:39
19,Bluff,-46.6,168.3333,52.81,77,100,25.86,NZ,2021-10-04 03:42:07
20,San Angelo,31.4638,-100.437,71.44,75,1,0.0,US,2021-10-04 03:38:51
21,Hithadhoo,-0.6,73.0833,83.39,75,51,16.6,MV,2021-10-04 03:32:10
22,Albany,42.6001,-73.9662,61.66,95,100,1.25,US,2021-10-04 03:29:32
23,Bredasdorp,-34.5322,20.0403,45.72,87,60,3.44,ZA,2021-10-04 03:42:08
24,Hilo,19.7297,-155.09,84.27,79,90,9.22,US,2021-10-04 03:40:23
25,Saldanha,-33.0117,17.9442,44.65,71,0,16.58,ZA,2021-10-04 03:36:30
26,Ribeira Grande,38.5167,-28.7,71.29,89,26,7.36,PT,2021-10-04 03:36:36
27,Qaanaaq,77.484,-69.3632,25.93,93,98,5.88,GL,2021-10-04 03:42:08
28,Avarua,-21.2078,-159.775,75.25,69,40,12.66,CK,2021-10-04 03:32:29
29,Cabedelo,-6.9811,-34.8339,77.67,81,34,14.14,BR,2021-10-04 03:32:06
30,Caluquembe,-13.7833,14.6833,57.13,76,47,2.39,AO,2021-10-04 03:42:09
31,Porto Novo,6.4965,2.6036,80.42,92,100,3.69,BJ,2021-10-04 03:42:09
32,Cape Town,-33.9258,18.4232,54.27,55,20,13.8,ZA,2021-10-04 03:31:24
33,Souillac,-20.5167,57.5167,74.35,88,75,3.44,MU,2021-10-04 03:38:18
34,High Prairie,55.4334,-116.4858,40.3,42,0,8.95,CA,2021-10-04 03:42:10
35,Guerrero Negro,27.9769,-114.0611,74.75,65,100,11.21,MX,2021-10-04 03:42:10
36,Jamestown,42.097,-79.2353,67.32,95,90,1.01,US,2021-10-04 03:42:10
37,Jalapa,19.5333,-96.9167,59.34,95,49,5.06,MX,2021-10-04 03:37:18
38,Punta Arenas,-53.15,-70.9167,41.11,70,20,26.46,CL,2021-10-04 03:42:11
39,Berlevag,70.8578,29.0864,50.0,81,100,31.18,NO,2021-10-04 03:38:30
40,Kapaa,22.0752,-159.319,75.18,82,90,13.8,US,2021-10-04 03:38:32
41,Mount Gambier,-37.8333,140.7667,51.71,87,75,23.02,AU,2021-10-04 03:36:30
42,Vanersborg,58.3807,12.3234,51.75,96,100,8.05,SE,2021-10-04 03:42:12
43,La Ronge,55.1001,-105.2842,52.02,57,75,3.44,CA,2021-10-04 03:38:40
44,Ust-Nera,64.5667,143.2,31.69,59,37,3.53,RU,2021-10-04 03:42:12
45,New Norfolk,-42.7826,147.0587,62.1,73,98,1.99,AU,2021-10-04 03:32:13
46,Krasnoshchekovo,51.6708,82.7289,42.12,76,100,10.07,RU,2021-10-04 03:42:12
47,Dukat,62.55,155.55,21.7,86,100,12.19,RU,2021-10-04 03:42:13
48,East London,-33.0153,27.9116,54.54,87,20,6.91,ZA,2021-10-04 03:32:33
49,Luderitz,-26.6481,15.1594,58.08,50,71,13.33,NA,2021-10-04 03:42:13
50,Chuy,-33.6971,-53.4616,45.75,79,43,6.17,UY,2021-10-04 03:32:18
51,Nikolskoye,59.7035,30.7861,43.88,95,0,7.52,RU,2021-10-04 03:42:13
52,San-Pedro,4.7485,-6.6363,75.42,94,56,1.12,CI,2021-10-04 03:42:14
53,Sitka,57.0531,-135.33,44.49,70,40,9.22,US,2021-10-04 03:33:10
54,Ixtapa,20.7,-105.2,80.22,96,97,2.66,MX,2021-10-04 03:33:01
55,Tuatapere,-46.1333,167.6833,52.83,81,100,6.71,NZ,2021-10-04 03:37:28
56,Jieshi,22.8134,115.8257,88.95,59,3,12.71,CN,2021-10-04 03:42:14
57,Ponta Delgada,37.7333,-25.6667,73.51,94,75,2.3,PT,2021-10-04 03:32:36
58,Jala,21.0833,-104.4333,70.39,93,100,2.28,MX,2021-10-04 03:42:15
59,Deder,9.3167,41.45,57.96,85,99,1.74,ET,2021-10-04 03:42:15
60,Victoria,22.2855,114.1577,91.45,70,42,3.0,HK,2021-10-04 03:29:26
61,Castro,-24.7911,-50.0119,61.52,96,100,2.62,BR,2021-10-04 03:42:15
62,Puerto Ayora,-0.7393,-90.3518,69.4,86,60,10.51,EC,2021-10-04 03:27:48
63,Buchanan,5.8808,-10.0467,76.14,91,43,2.66,LR,2021-10-04 03:42:16
64,Kaitangata,-46.2817,169.8464,50.94,80,100,17.43,NZ,2021-10-04 03:42:16
65,Thinadhoo,0.5333,72.9333,83.71,74,28,15.93,MV,2021-10-04 03:36:35
66,Barrow,71.2906,-156.7887,28.42,86,90,9.22,US,2021-10-04 03:36:34
67,Krasnoselkup,65.7,82.4667,26.19,76,86,6.49,RU,2021-10-04 03:42:16
68,Coquimbo,-29.9533,-71.3436,53.33,82,0,4.61,CL,2021-10-04 03:37:18
69,Esperance,-33.8667,121.9,67.84,42,0,11.3,AU,2021-10-04 03:38:13
70,Banda Aceh,5.5577,95.3222,84.78,66,24,7.29,ID,2021-10-04 03:42:17
71,Bato,13.3528,123.3677,81.75,85,100,3.78,PH,2021-10-04 03:42:17
72,Cayenne,4.9333,-52.3333,83.08,77,0,4.0,GF,2021-10-04 03:32:22
73,Dessalines,19.2833,-72.5,72.05,84,100,4.0,HT,2021-10-04 03:42:18
74,Alghero,40.5589,8.3181,66.29,82,0,5.75,IT,2021-10-04 03:42:18
75,Ahipara,-35.1667,173.1667,64.62,79,6,8.01,NZ,2021-10-04 03:37:54
76,Busselton,-33.65,115.3333,63.05,64,79,19.84,AU,2021-10-04 03:42:18
77,Bathsheba,13.2167,-59.5167,79.41,73,75,27.63,BB,2021-10-04 03:37:08
78,Bubaque,11.2833,-15.8333,81.7,75,92,4.76,GW,2021-10-04 03:40:21
79,Severo-Kurilsk,50.6789,156.125,48.43,75,58,24.18,RU,2021-10-04 03:42:19
80,Mahebourg,-20.4081,57.7,74.25,88,75,3.44,MU,2021-10-04 03:42:19
81,Sarlat-La-Caneda,44.889,1.2166,53.1,93,100,1.07,FR,2021-10-04 03:42:20
82,Union,40.6334,-74.2663,72.91,84,1,0.0,US,2021-10-04 03:42:20
83,Fairbanks,64.8378,-147.7164,33.76,94,90,6.91,US,2021-10-04 03:40:12
84,Paamiut,61.994,-49.6678,37.62,60,42,8.86,GL,2021-10-04 03:39:44
85,Benguela,-12.5763,13.4055,69.62,83,60,1.12,AO,2021-10-04 03:37:17
86,Namatanai,-3.6667,152.4333,86.36,64,100,5.28,PG,2021-10-04 03:32:44
87,Dolores,-36.3132,-57.6792,41.14,74,0,4.83,AR,2021-10-04 03:42:20
88,Hobart,-42.8794,147.3294,62.46,81,75,9.22,AU,2021-10-04 03:42:21
89,Kodiak,57.79,-152.4072,40.69,60,0,8.59,US,2021-10-04 03:28:14
90,Carnarvon,-24.8667,113.6333,71.67,56,0,23.02,AU,2021-10-04 03:32:28
91,Taksimo,56.3444,114.8794,41.11,51,47,1.95,RU,2021-10-04 03:42:21
92,Pevek,69.7008,170.3133,26.71,90,99,1.61,RU,2021-10-04 03:42:22
93,Iqaluit,63.7506,-68.5145,31.73,74,1,1.99,CA,2021-10-04 03:37:13
94,Vaini,-21.2,-175.2,75.36,88,90,14.97,TO,2021-10-04 03:42:22
95,Eureka,40.8021,-124.1637,61.66,76,14,2.35,US,2021-10-04 03:36:47
96,Touros,-5.1989,-35.4608,74.3,81,19,12.71,BR,2021-10-04 03:36:23
97,Yellowknife,62.456,-114.3525,43.32,65,20,6.91,CA,2021-10-04 03:42:22
98,Panaba,21.2833,-88.2667,74.64,94,95,7.14,MX,2021-10-04 03:42:23
99,Saint-Prosper,46.2117,-70.4811,43.09,95,4,6.42,CA,2021-10-04 03:42:23
100,Charters Towers,-20.1,146.2667,99.27,13,0,3.0,AU,2021-10-04 03:40:28
101,Yar-Sale,66.8333,70.8333,33.53,72,100,13.18,RU,2021-10-04 03:42:24
102,Hofn,64.2539,-15.2082,45.36,74,100,17.6,IS,2021-10-04 03:40:35
103,Port Alfred,-33.5906,26.891,52.93,78,4,5.21,ZA,2021-10-04 03:32:37
104,Korem,12.5058,39.5228,58.03,70,29,2.35,ET,2021-10-04 03:42:24
105,Gobabis,-22.45,18.9667,48.65,27,0,7.85,NA,2021-10-04 03:42:24
