City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Leningradskiy,69.3833,178.4167,20.88,83,28,2.33,RU,2021-10-04 01:43:14
1,Lagoa,39.05,-27.9833,70.56,92,5,10.58,PT,2021-10-04 01:43:15
2,Hobart,-42.8794,147.3294,63.27,80,75,1.01,AU,2021-10-04 01:41:09
3,Saint-Augustin,51.226,-58.6502,42.53,84,100,5.37,CA,2021-10-04 01:43:17
4,Kahului,20.8947,-156.47,84.22,55,40,21.85,US,2021-10-04 01:40:24
5,Busselton,-33.65,115.3333,59.04,72,100,17.16,AU,2021-10-04 01:43:18
6,East London,-33.0153,27.9116,55.63,67,6,4.36,ZA,2021-10-04 01:43:18
7,Albany,42.6001,-73.9662,61.66,94,100,1.43,US,2021-10-04 01:40:52
8,Vestmanna,62.1564,-7.1664,47.32,93,75,19.57,FO,2021-10-04 01:43:18
9,Sitka,57.0531,-135.33,44.49,70,75,5.75,US,2021-10-04 01:41:57
10,Georgetown,5.4112,100.3354,84.88,82,20,1.01,MY,2021-10-04 01:41:37
11,Scarborough,54.2797,-0.4044,51.51,87,4,3.0,GB,2021-10-04 01:43:19
12,Tuktoyaktuk,69.4541,-133.0374,33.8,93,90,12.66,CA,2021-10-04 01:43:19
13,Hermanus,-34.4187,19.2345,52.9,76,35,9.24,ZA,2021-10-04 01:43:20
14,Puerto Ayora,-0.7393,-90.3518,71.56,86,52,10.78,EC,2021-10-04 01:43:20
15,Mataura,-46.1927,168.8643,51.48,79,100,11.43,NZ,2021-10-04 01:43:20
16,Sadasivpet,17.6212,77.9503,74.21,78,21,3.24,IN,2021-10-04 01:43:21
17,Port Hedland,-20.3167,118.5667,84.25,18,2,6.91,AU,2021-10-04 01:43:21
18,La Baule-Escoublac,47.2922,-2.364,59.72,81,20,11.5,FR,2021-10-04 01:43:22
19,Ponta Do Sol,32.6667,-17.1,75.0,80,100,6.13,PT,2021-10-04 01:43:22
20,Caravelas,-17.7125,-39.2481,75.85,81,6,13.53,BR,2021-10-04 01:43:22
21,Esperance,-33.8667,121.9,58.84,45,0,13.18,AU,2021-10-04 01:43:23
22,New Norfolk,-42.7826,147.0587,62.92,74,95,5.28,AU,2021-10-04 01:43:23
23,Ushuaia,-54.8,-68.3,38.86,65,90,17.27,AR,2021-10-04 01:43:23
24,Namibe,-15.1961,12.1522,59.47,88,0,1.23,AO,2021-10-04 01:43:24
25,Bluff,-46.6,168.3333,51.8,78,100,24.83,NZ,2021-10-04 01:43:24
26,Iqaluit,63.7506,-68.5145,31.73,74,20,4.0,CA,2021-10-04 01:43:24
27,Port Alfred,-33.5906,26.891,54.18,75,1,7.02,ZA,2021-10-04 01:43:25
28,Rikitea,-23.1203,-134.9692,73.78,68,100,18.77,PF,2021-10-04 01:38:29
29,Miri,4.4148,114.0089,82.54,74,20,9.22,MY,2021-10-04 01:43:25
30,Sao Filipe,14.8961,-24.4956,80.04,80,16,5.1,CV,2021-10-04 01:43:26
31,Arlit,18.7369,7.3853,84.33,16,0,7.38,NE,2021-10-04 01:43:26
32,Port Elizabeth,-33.918,25.5701,52.09,82,0,9.22,ZA,2021-10-04 01:43:26
33,Muisne,0.6,-80.0333,74.7,83,96,6.69,EC,2021-10-04 01:43:30
34,Le Port,-20.9373,55.2919,69.8,77,15,7.61,RE,2021-10-04 01:43:30
35,Moree,-29.4667,149.85,71.62,53,0,13.8,AU,2021-10-04 01:43:30
36,Upernavik,72.7868,-56.1549,30.2,84,96,4.5,GL,2021-10-04 01:43:31
37,Arraial Do Cabo,-22.9661,-42.0278,70.75,99,100,5.79,BR,2021-10-04 01:43:34
38,Grand Island,40.925,-98.342,65.28,55,1,4.61,US,2021-10-04 01:39:32
39,Avarua,-21.2078,-159.775,75.25,69,40,14.97,CK,2021-10-04 01:43:34
40,Cabo San Lucas,22.8909,-109.9124,85.51,73,93,4.14,MX,2021-10-04 01:43:34
